episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/loss,info/learner/default_policy/grad_norm,info/learner/default_policy/td_error_abs,info/learner/default_policy/q_taken_mean,info/learner/default_policy/target_mean
-1651.0,-2426.0,-1941.6666666666667,360.0,3,1,1080,1080,False,3,1,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-40-33,1626360033,25.5654776096344,25.5654776096344,12,264e0c6a7bc9,172.17.0.2,25.5654776096344,0,1,8caff_00000,"[-1748.0, -1651.0, -2426.0]","[360, 360, 360]",0.8898533460280059,2.453374818560153,0.33019826326184976,17.918403671363457,0.0,0.14,2566107.211,616.843,583.617,14.976,1080,1080,1080,1080,3,35.05277777777778,12.897222222222222,40381038592.0,236011110400.0,179628.73535353536,928889.6646464646,1105040.290909091
-1651.0,-2688.0,-2211.6666666666665,360.0,3,1,2160,2160,False,6,2,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-41-03,1626360063,27.919349670410156,53.484827280044556,12,264e0c6a7bc9,172.17.0.2,53.484827280044556,0,2,8caff_00000,"[-2190.0, -2688.0, -2567.0, -1748.0, -1651.0, -2426.0]","[360, 360, 360, 360, 360, 360]",0.8985120068844984,2.472083682220935,0.334189537668361,18.4691881133807,0.0,0.119,3033980.421,618.532,582.024,15.041,2160,2160,2160,2160,6,35.66341463414634,11.341463414634145,3696365928448.0,13963783831552.0,1673603.878787879,13065871.773737373,14689733.042424243
-1651.0,-4267.0,-2775.0,360.0,3,1,3240,3240,False,9,3,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-41-26,1626360086,22.871304750442505,76.35613203048706,12,264e0c6a7bc9,172.17.0.2,76.35613203048706,0,3,8caff_00000,"[-3232.0, -4206.0, -4267.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8890188880390579,2.455087328202385,0.3314384810326169,18.313041608302214,0.0,0.111,3233035.782,609.694,590.461,14.374,3240,3240,3240,3240,9,21.588235294117652,8.399999999999999,46452474642432.0,122485664120832.0,5906631.628282828,44034275.55555555,49737943.143434346
-1651.0,-6243.0,-3445.0,360.0,3,1,4320,4320,False,12,4,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-41-50,1626360110,22.626314163208008,98.98244619369507,12,264e0c6a7bc9,172.17.0.2,98.98244619369507,0,4,8caff_00000,"[-4764.0, -5358.0, -6243.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8750144356024107,2.424394823079823,0.3279428384269791,18.112852056285572,0.0,0.094,3834861.659,596.256,603.767,15.257,4320,4320,4320,4320,12,22.3,8.463636363636363,519642791542784.0,1217393045012480.0,19292131.038383838,125512652.28282829,144144561.9070707
-1651.0,-6427.0,-3967.0,360.0,3,1,5400,5400,False,15,5,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-42-14,1626360134,23.32360601425171,122.30605220794678,12,264e0c6a7bc9,172.17.0.2,122.30605220794678,0,5,8caff_00000,"[-5699.0, -6039.0, -6427.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0, -4764.0, -5358.0, -6243.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8634177362093441,2.3965312994712837,0.3250387838555194,17.960354402782603,0.0,0.09,4010640.721,579.386,621.347,13.241,5400,5400,5400,5400,15,21.90294117647059,8.567647058823532,3933584721182720.0,8780114133254144.0,47297298.1010101,331747038.38383836,376290037.1393939
-1651.0,-12093.0,-5066.388888888889,360.0,3,1,6480,6480,False,18,6,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-42-41,1626360161,26.442920207977295,148.74897241592407,12,264e0c6a7bc9,172.17.0.2,148.74897241592407,0,6,8caff_00000,"[-10730.0, -8867.0, -12093.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0, -4764.0, -5358.0, -6243.0, -5699.0, -6039.0, -6427.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8562319738258416,2.3803959087929902,0.32320108804401737,17.909715252471514,0.0,0.09,4009597.555,580.95,619.675,12.242,6480,6480,6480,6480,18,22.097368421052632,8.60263157894737,1.16732379267072e+16,2.760970119361331e+16,76385807.51515152,666610942.4484849,736923590.0767677
-1651.0,-15677.0,-6378.428571428572,360.0,3,1,7560,7560,False,21,7,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-43-10,1626360190,28.549460411071777,177.29843282699585,12,264e0c6a7bc9,172.17.0.2,177.29843282699585,0,7,8caff_00000,"[-13457.0, -13618.0, -15677.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0, -4764.0, -5358.0, -6243.0, -5699.0, -6039.0, -6427.0, -10730.0, -8867.0, -12093.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8523821398125577,2.370485863934737,0.32206985797639925,17.94072290865542,0.0,0.099,3629289.132,582.45,618.079,9.33,7560,7560,7560,7560,21,22.680487804878048,8.7,6428351640109056.0,5233524487487488.0,71123134.31919192,235128935.43434343,305382368.969697
-1651.0,-26577.0,-8423.208333333334,360.0,3,1,8640,8640,False,24,8,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-43-43,1626360223,30.55171227455139,207.85014510154724,12,264e0c6a7bc9,172.17.0.2,207.85014510154724,0,8,8caff_00000,"[-20379.0, -21254.0, -26577.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0, -4764.0, -5358.0, -6243.0, -5699.0, -6039.0, -6427.0, -10730.0, -8867.0, -12093.0, -13457.0, -13618.0, -15677.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8501458392704094,2.3644641192984417,0.321378556189365,18.037751092681038,0.0,0.117,3076053.07,593.13,606.95,8.636,8640,8640,8640,8640,24,23.069565217391304,8.713043478260866,7373778094915584.0,4950706796625920.0,77753044.04040404,238359992.63030303,314975085.1232323
-1651.0,-38063.0,-11235.851851851852,360.0,3,1,9720,9720,False,27,9,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-44-18,1626360258,33.63354802131653,241.48369312286377,12,264e0c6a7bc9,172.17.0.2,241.48369312286377,0,9,8caff_00000,"[-30336.0, -32812.0, -38063.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0, -4764.0, -5358.0, -6243.0, -5699.0, -6039.0, -6427.0, -10730.0, -8867.0, -12093.0, -13457.0, -13618.0, -15677.0, -20379.0, -21254.0, -26577.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8498522066718351,2.3619779547888604,0.32120667163843614,18.196585978017644,0.0,0.122,2953230.847,601.975,598.031,8.579,9720,9720,9720,9720,27,23.812244897959186,8.785714285714286,7.074772521991537e+17,5.132371844388618e+17,237207154.8121212,5781185025.034344,5933923888.614141
-1651.0,-47824.0,-14660.966666666667,360.0,3,1,10800,10800,False,30,10,d41ac65319df42c194e22eef4b3bf66e,2021-07-15_14-44-55,1626360295,35.067415714263916,276.5511088371277,12,264e0c6a7bc9,172.17.0.2,276.5511088371277,0,10,8caff_00000,"[-42647.0, -47824.0, -45990.0, -1748.0, -1651.0, -2426.0, -2190.0, -2688.0, -2567.0, -3232.0, -4206.0, -4267.0, -4764.0, -5358.0, -6243.0, -5699.0, -6039.0, -6427.0, -10730.0, -8867.0, -12093.0, -13457.0, -13618.0, -15677.0, -20379.0, -21254.0, -26577.0, -30336.0, -32812.0, -38063.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.8506905446598042,2.3617389544398244,0.321333038877162,18.39673608560467,0.0,0.134,2688828.472,601.075,598.927,8.265,10800,10800,10800,10800,30,23.4078431372549,8.86470588235294,3.99301004975145e+16,5.07484788710441e+16,167574575.57979798,915381758.9656565,1077854505.8909092
