episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/loss,info/learner/default_policy/grad_norm,info/learner/default_policy/td_error_abs,info/learner/default_policy/q_taken_mean,info/learner/default_policy/target_mean
-1464.0,-3158.0,-2153.0,360.0,3,1,1080,1080,False,3,1,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-42-20,1626536540,20.61259627342224,20.61259627342224,18168,264e0c6a7bc9,172.17.0.2,20.61259627342224,0,1,864eb_00000,"[-1837.0, -1464.0, -3158.0]","[360, 360, 360]",0.5577424408438909,1.5947152683847376,0.25400819875486025,14.774334419666893,0.0,0.094,3842403.338,575.716,625.308,11.151,1080,1080,1080,1080,3,22.570000000000004,11.80333333333333,43335761920.0,287724371968.0,169420.63838383838,1392470.7555555555,1552561.6484848484
-1464.0,-3158.0,-2439.1666666666665,360.0,3,1,2160,2160,False,6,2,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-42-44,1626536564,21.504192352294922,42.11678862571716,18168,264e0c6a7bc9,172.17.0.2,42.11678862571716,0,2,864eb_00000,"[-2426.0, -3071.0, -2679.0, -1837.0, -1464.0, -3158.0]","[360, 360, 360, 360, 360, 360]",0.561556494972398,1.590877497178046,0.25385701575779746,15.044911872565345,0.0,0.088,4112693.118,555.58,647.971,11.349,2160,2160,2160,2160,6,21.87878787878788,11.960606060606061,7830607233024.0,29487609675776.0,2343123.006060606,17025235.006060608,19293537.745454546
-1464.0,-4974.0,-3127.222222222222,360.0,3,1,3240,3240,False,9,3,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-43-07,1626536587,21.26355743408203,63.380346059799194,18168,264e0c6a7bc9,172.17.0.2,63.380346059799194,0,3,864eb_00000,"[-4974.0, -4767.0, -3769.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5604368968551131,1.585325752775561,0.25384833326698897,15.17280682119319,0.0,0.09,3989522.554,553.124,650.849,11.102,3240,3240,3240,3240,9,23.25625,12.03125,46389161623552.0,100770284306432.0,6081040.549494949,35379990.23838384,41328077.317171715
-1464.0,-6976.0,-3845.75,360.0,3,1,4320,4320,False,12,4,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-43-30,1626536610,22.015937089920044,85.39628314971924,18168,264e0c6a7bc9,172.17.0.2,85.39628314971924,0,4,864eb_00000,"[-4569.0, -6976.0, -6459.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5592784316082412,1.5801623279312291,0.25389472997194207,15.294259522544186,0.0,0.092,3933089.22,542.011,664.193,11.565,4320,4320,4320,4320,12,24.30625,12.1,274659333373952.0,764845427261440.0,13489202.682828283,113453490.42424242,126292646.52929293
-1464.0,-10935.0,-4739.2,360.0,3,1,5400,5400,False,15,5,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-43-54,1626536634,22.166173219680786,107.56245636940002,18168,264e0c6a7bc9,172.17.0.2,107.56245636940002,0,5,864eb_00000,"[-6598.0, -7406.0, -10935.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5587993951993107,1.5766130030923022,0.25388809087502123,15.395781748626218,0.0,0.106,3381206.556,553.404,650.52,11.853,5400,5400,5400,5400,15,23.108571428571427,12.199999999999998,2159204613750784.0,5090910635294720.0,34864912.032323234,276898784.969697,309426337.3575758
-1464.0,-15949.0,-6294.444444444444,360.0,3,1,6480,6480,False,18,6,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-44-20,1626536660,24.735893964767456,132.29835033416748,18168,264e0c6a7bc9,172.17.0.2,132.29835033416748,0,6,864eb_00000,"[-11629.0, -14634.0, -15949.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5592558351170949,1.5766510143546444,0.2539706898265469,15.539968323499673,0.0,0.108,3323334.224,574.033,627.142,10.705,6480,6480,6480,6480,18,25.26111111111111,12.26388888888889,1800986087653376.0,2313539163258880.0,37759158.04444444,180493343.03030303,217296391.24040404
-1464.0,-19465.0,-7823.0,360.0,3,1,7560,7560,False,21,7,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-44-46,1626536686,24.944149255752563,157.24249958992004,18168,264e0c6a7bc9,172.17.0.2,157.24249958992004,0,7,864eb_00000,"[-14331.0, -17187.0, -19465.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5598201284955213,1.576437337243367,0.2540376780787164,15.696873145090391,0.0,0.106,3399270.777,586.909,613.383,9.485,7560,7560,7560,7560,21,25.408333333333335,12.300000000000002,2.4356153945227264e+16,4.88998175726633e+16,92106603.05454545,1000880223.159596,1081617993.4383838
-1464.0,-30620.0,-10391.583333333334,360.0,3,1,8640,8640,False,24,8,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-45-12,1626536712,25.841878652572632,183.08437824249268,18168,264e0c6a7bc9,172.17.0.2,183.08437824249268,0,8,864eb_00000,"[-24560.0, -30620.0, -29935.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.560434508823133,1.5767301482614233,0.25440065627528435,15.861658649203383,0.0,0.095,3779938.126,600.857,599.144,7.746,8640,8640,8640,8640,24,25.67027027027027,12.397297297297296,1.171738482180096e+16,1.7258820346576896e+16,83630878.51313132,521461313.1636364,600524307.6525253
-1464.0,-49353.0,-14027.407407407407,360.0,3,1,9720,9720,False,27,9,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-45-40,1626536740,27.028221607208252,210.11259984970093,18168,264e0c6a7bc9,172.17.0.2,210.11259984970093,0,9,864eb_00000,"[-36314.0, -43675.0, -49353.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5608989562023924,1.5763726307485995,0.25470569192342585,16.03769372128969,0.0,0.091,3936411.592,601.499,598.504,6.913,9720,9720,9720,9720,27,26.358974358974365,12.45897435897436,1.577330003631145e+17,2.189662460229714e+17,171174388.62222221,2598364443.410101,2734296963.878788
-1464.0,-61522.0,-18598.933333333334,360.0,3,1,10800,10800,False,30,10,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-46-10,1626536770,29.547204732894897,239.65980458259583,18168,264e0c6a7bc9,172.17.0.2,239.65980458259583,0,10,864eb_00000,"[-56709.0, -61522.0, -60997.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5615436763181229,1.5763288697215956,0.2549404510728171,16.236410870907477,0.0,0.092,3914782.141,575.983,625.018,6.936,10800,10800,10800,10800,30,26.976744186046513,12.502325581395349,3.904536300434227e+16,5.548291151573811e+16,146664487.3050505,937030219.5070707,1074208254.9656565
